"name","quantity","ilosc","description","photo_url","wysokosc","szerokosc","glebokosc","data_wyjazdu","stan","updatedat","linknadysk","category","updatedby","deviceid","stoisko"
"TV43026","LG Smart YouTube Netflix","1","Glębokość 12 cm (wraz z wieszakiem 8+4 cm) cm","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1770879526/TV43026_cjsh50.jpg","57.5","97.5","12",,"0","2026-02-12T07:04:29.852Z","https://drive.google.com/drive/folders/1WjRnqLc9Op3MTL99T0kKIiED0UkvZv3S?usp=drive_link","Telewizory","admin","DEV-39VBE8",""
"TV43027","TV LG 43' czarny","1","TV LG 43' czarny ocena 4/5  Smart Netflix i YouTube 
 Wymiary:
 Szerokość 97,5 cm
 Wysokość 57,5 cm
 Głębokość 12 cm (wraz z wieszakiem 8+4 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999421/TV43027_tdxfbw.jpg","57.5","97.5","12",,"0","2026-02-12T07:04:43.322Z","https://drive.google.com/drive/folders/13DnQHjN5ATGPzfIbhXIlFPa9LtJkcM0P?usp=drive_link","Telewizory","admin","DEV-44KJGQ",""
"TV43028","TV LG 43'","1","TV LG 43' czarny ocena 3,5/5 stary bez Smart tylko USB 
 Wymiary:
 Szerokość 97,5 cm
 Wysokość 57,5 cm
 Głębokość 11 cm (wraz z wieszakiem 8,5+2,5 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999422/TV43028_khp1tg.jpg","57.5","97.5","11",,"0","2026-01-28T21:04:37.198Z","https://drive.google.com/drive/folders/1Zi7xqaE97ymu3WLRK1QDjZI5EzHeBX9c?usp=drive_link","Telewizory","admin","DEV-157A6J","givaudan"
"TV43029","TV Sharp 43' czarny","1","TV Sharp 43' czarny ocena 5/5 Android TV Smart Netflix i inne
 Wymiary:
 Szerokość 96,5 cm
 Wysokość 56,5 cm
 Głębokość 14 cm (wraz z wieszakiem 10+4 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999422/TV43029_kqnpay.jpg","56,5","96,5","14 cm (wraz z wieszakiem 10+4 cm)","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1eDnucUKw4eHUMj6-IHP6BLKbKwvQtsBh?usp=drive_link","Telewizory",,,
"TV43095-TV43092","TV LG 43","4","cena 5/5 nowy sierpień 2025 kupione 4 takich samych 
 Wymiary:
 Szerokość 97 cm
 Wysokość 57 cm
 Głębokość 13 cm (wraz z wieszakiem 7+6 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999427/TV43095-TV43092_yho7od.jpg","57","97","13 cm (wraz z wieszakiem 7+6 cm","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1ksoeRDqT3AtBj5kW4KAkebtXQGD78i3b?usp=drive_link","Telewizory",,,
"TV49004","TV LG 49'","1","TV LG 49' srebrna ramka ocena 4/5 Smart Netflix 
 Wymiary:
 Szerokość 110,5 cm
 Wysokość 55 cm
 Głębokość 11 cm (wraz z wieszakiem 8+3 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999428/TV49004_zoenqo.jpg","55","110,5","11 cm (wraz z wieszakiem 8+3 cm)","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1sOQYMckS-_I_9obJ13MsdgY1nZwwfkuI?usp=drive_link","Telewizory",,,
"TV55002","TV THOMSON 50' czarny","1","TV THOMSON 50' czarny ocena 4/5  Smart Netflix i YouTube 
 Wymiary:
 Szerokość 112,5 cm
 Wysokość 65,5 cm
 Głębokość 15 cm (wraz z wieszakiem 9+6 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999428/TV50002_gx6caq.jpg","65,5","112,5","15 cm (wraz z wieszakiem 9+6 cm)","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1XVX8X3jr83KrXnYLQ2kCQK-dM-6BxTVY?usp=drive_link","Telewizory",,,
"TV55009","TV LG 55","1","TV LG 55' ocena 4/5 Smart Netflix YouTube 
 Wymiary:
 Szerokość 125 cm
 Wysokość 73 cm
 Głębokość 11 cm (wraz z wieszakiem 8+3 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999429/TV55009_y5loiw.jpg","73","125","11 cm (wraz z wieszakiem 8+3 cm)","*tutaj musisz wpisać date*","Na stanie",,"https://drive.google.com/drive/folders/15TUzFUh4NDX-r008yQUUdojnQptVrrV2?usp=drive_link","Telewizory",,,
"TV55094","TV LG 55","1","TV 55094 Telewizor LG 55"" NanoCell ocena 5/5
 Szerokość 123,5 cm
 Wysokość 72 cm
 Głębokość 10 cm","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999437/TV65095_cuax1m.jpg","72","123,5","10","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1s1mmv18_Fx3CTn0Hw24Pz2kotNY1l7-J?usp=drive_link","Telewizory",,,
"TV55096-550100","TV LG 55","5","TV LG 55' ocena 5/5 nowy czerwiec 2025 kupione 5 takich samych 
 Wymiary:
 Szerokość 123,5 cm
 Wysokość 71,5 cm
 Głębokość 12 cm (wraz z wieszakiem 6+6 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999435/TV55099_zr1u9j.jpg","71,5","123,5","12 cm (wraz z wieszakiem 6+6 cm)","TV550965 Gog prostaf","Wyslane",,"https://drive.google.com/drive/folders/1JZPB7E_vatGlEibZiu4r_GGx4_rOk6nk?usp=drive_link","Telewizory",,,
"TV65013","Samsung 65'","1","Samsung 65' ocena 4/5 minimalne ryski na ekranie
 Wymiary:
 Szerokość 145,5 cm
 Wysokość 83,5 cm
 Głębokość 9,5 cm (wraz z wieszakiem 6+3,5 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999436/TV65013_up094l.jpg","83,5","145","9,5 cm (wraz z wieszakiem 6+3,5 cm)","*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1ofgGABPrtNuV-7IgqRM9lHV2yJeub9Fe?usp=drive_link","Telewizory",,,
"TV65095","LG 65","1","LG 65' ocena 5/5 nowy czerwiec 2025 kupiona 1 sztuka
 Wymiary:
 Szerokość 145,5 cm
 Wysokość 83,5 cm
 Głębokość 12,5 cm (wraz z wieszakiem 6,5+6 cm)","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999437/TV65095_cuax1m.jpg","83,5","145,5","12,5 cm (wraz z wieszakiem 6,5+6 cm)","MDC 17-20.11","Wyslane",,"https://drive.google.com/drive/folders/1bmGwyiA_InJBQqfo5bIV-VlxHPOTRaEw?usp=drive_link","Telewizory",,,
"TV75061","TV 75 cali","1",,,,,,"California","Wyslane",,"https://drive.google.com/drive/folders/1dCeC9-03q68eu_uQg3N5zfwXv0xuB5wS?usp=drive_link","Telewizory",,,
"TV80060","TV Samsung 80","1",,,,,,"*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1d2I4WGq4dChoOPyyEjHTC_HvA5Y8FvfY?usp=drive_link","Telewizory",,,
